Date,Price
25/01/23,56865
27/01/23,56789
30/01/23,56754
31/01/23,56864
01/02/23,57599
02/02/23,57710
03/02/23,57424
06/02/23,56926
07/02/23,57175
08/02/23,57128
09/02/23,56797
10/02/23,56711
13/02/23,56486
14/02/23,56679
15/02/23,56151
16/02/23,56229
17/02/23,56232
20/02/23,56202
21/02/23,56157
22/02/23,56060
23/02/23,55630
24/02/23,55535
27/02/23,55447
28/02/23,55714
01/03/23,56047
02/03/23,55915
03/03/23,55879
06/03/23,55752
07/03/23,55077
08/03/23,54955
09/03/23,55272
10/03/23,56101
13/03/23,57539
14/03/23,57417
15/03/23,58263
16/03/23,57942
17/03/23,59231
20/03/23,59424
21/03/23,58520
22/03/23,58684
23/03/23,59436
24/03/23,59226
27/03/23,58496
28/03/23,58986
29/03/23,58997
30/03/23,59389
31/03/23,59314
03/04/23,59600
04/04/23,60435
05/04/23,60366
06/04/23,60276
10/04/23,59867
11/04/23,60281
12/04/23,60404
13/04/23,60987
14/04/23,60145
17/04/23,60051
18/04/23,60331
19/04/23,60172
20/04/23,60389
21/04/23,59810
24/04/23,59928
25/04/23,60123
26/04/23,59849
27/04/23,59913
28/04/23,60057
01/05/23,59979
02/05/23,60787
03/05/23,61073
04/05/23,61683
05/05/23,60799
08/05/23,60916
09/05/23,61359
10/05/23,61207
11/05/23,60886
12/05/23,60843
15/05/23,60987
16/05/23,60280
17/05/23,60189
18/05/23,59758
19/05/23,60389
22/05/23,60271
23/05/23,60220
24/05/23,59918
25/05/23,59493
26/05/23,59430
29/05/23,59358
30/05/23,59845
31/05/23,60252
01/06/23,60033
02/06/23,59656
05/06/23,59805
06/06/23,59902
07/06/23,59511
08/06/23,59809
09/06/23,59777
12/06/23,59595
13/06/23,59222
14/06/23,59249
15/06/23,59249
